Gene	HC_HC_D1	HC_HC_D3	HC_HC_D6	HC_HC_D10
Nedd4	0	0	1.735486275	2.212597952
Impdh2	0	0	1.805356202	0
Grb2	0	0	1.805661619	0
Chmp1a	0	0	1.818287648	2.398573223
Canx	0	0	1.823235883	1.568031994
Blvra	0	0	1.837452622	0
Ppp2r4	0	0	1.841937616	2.611014225
Pcsk5	0	0	1.88037137	0
Anxa4	0	0	1.905921824	2.829093161
Asna1	0	0	1.914321655	1.787845
Col4a1	0	0	1.933326364	2.879150268
Actr1a	0	0	1.941131005	0
Eif3e	0	0	1.956192638	2.267443812
Vps26a	0	0	1.965963007	1.897146993
Vps25	0	0	1.985672025	2.089243917
Fam49b	0	0	1.992188324	2.280385406
Snx9	0	0	1.99835214	0
Tgfb2	0	0	2.001375128	1.827898316
Tnpo1	0	0	2.013175434	0
Cyfip1	0	0	2.020049089	2.140067217
Gnpda1	0	0	2.029072085	2.441173095
Lmcd1	0	0	2.038477551	3.769832404
Mgat1	0	0	2.041731214	2.554121871
Cab39	0	0	2.085702175	1.652592851
Lyplal1	0	0	2.089658275	0
Gltp	0	0	2.090394635	2.719468037
Plat	0	0	2.100690905	2.84109762
Hexb	0	0	2.130799079	2.171601368
Jup	0	0	2.149646016	2.40630304
Fam20c	0	0	2.152631826	2.320471566
Bcam	0	0	2.156791206	0
Slc25a5	0	0	2.175696698	0
Nans	0	0	2.184262876	0
Ltbp2	0	0	2.192233508	2.482777946
Ahnak	0	0	2.199044366	2.786447333
4930486L24Rik	0	0	2.202927438	0
Rap1b	0	0	2.259976148	3.330577279
Npepps	0	0	2.263732083	2.365470679
Arf6	0	0	2.307782783	1.916339589
Lect2	0	0	2.309562453	0
Ahsa1	0	0	2.311753101	1.520105711
Nrp1	0	0	2.325331672	2.323325086
Arl3	0	0	2.328135239	2.942620323
Ldhb	0	0	2.330470577	2.672873542
Col6a1	0	0	2.343056761	2.434230975
Anxa3	0	0	2.353128583	2.897600941
Napa	0	0	2.358392843	2.160242815
Psmd8	0	0	2.358961734	2.261617123
Ralb	0	0	2.360237937	3.054918215
Slc9a3r2	0	0	2.363320441	0
Fuca1	0	0	2.381761882	2.397154643
Dctn2	0	0	2.389191808	2.920736879
Pgm1	0	0	2.390796426	0
Wasf2	0	0	2.398118256	1.966290019
Lpl	0	0	2.425718367	2.158335924
Ppil1	0	0	2.427317166	2.384603296
Psmd13	0	0	2.432131506	3.120279203
Pfas	0	0	2.436860748	0
Dpysl2	0	0	2.438401529	3.184162983
Rsu1	0	0	2.441214667	2.695421005
Pon3	0	0	2.445457141	2.222139844
Impa1	0	0	2.446758308	0
Eif4e	0	0	2.44869837	0
Pdgfb	0	0	2.450568487	2.395736541
Stub1	0	0	2.483199294	2.302287154
Vasp	0	0	2.489174672	2.992418111
Gyg	0	0	2.493551359	2.693672947
Gpx4	0	0	2.505348873	0
Glipr2	0	0	2.506223141	2.977866081
Arhgap1	0	0	2.509534083	3.259038507
Oaf	0	0	2.511718771	0
Ppp2cb	0	0	2.516423148	2.104613617
Chmp4b	0	0	2.518394332	2.953734432
Kpna4	0	0	2.526201054	2.622944665
Enoph1	0	0	2.534757829	0
Acot7	0	0	2.548991478	2.766927564
Cd2ap	0	0	2.560664638	2.935338631
Map2k1	0	0	2.590249394	0
Nudt5	0	0	2.59314018	0
Ccdc25	0	0	2.602058748	0
Pafah1b3	0	0	2.614495668	3.058894848
Pcolce	0	0	2.623453435	2.169815895
Pitpna	0	0	2.627161268	2.946109532
Axl	0	0	2.627931952	0
Pdcd6	0	0	2.672030093	2.006774438
Nqo1	0	0	2.706712314	3.093535266
Crk	0	0	2.718185714	0
Cdk1	0	0	2.753669705	2.993390621
Capns1	0	0	2.753787204	2.886989585
Shisa5	0	0	2.800955623	3.745884301
Psmb7	0	0	2.810832742	0
Serpinb6c	0	0	2.811360663	2.772737177
Serpine2	0	0	2.813110019	3.341541119
Bgn	0	0	2.823467006	2.952159837
Nenf	0	0	2.829302529	2.269238511
Prss23	0	0	2.844568903	3.057069519
Snrpb	0	0	2.850034088	1.887466212
Mapk3	0	0	2.888085172	3.056326858
Fabp4	0	0	2.892121013	0
Stmn1	0	0	2.904364295	3.22589155
Serpinb9b	0	0	2.916434796	3.470539339
Marcks	0	0	2.917344846	3.214817364
Lyn	0	0	2.929924936	2.786041668
Msln	0	0	2.930802777	2.89773931
Afp	0	0	2.945281429	2.847802257
Marcksl1	0	0	2.985042941	2.886927734
Wisp1	0	0	2.998832938	2.998065867
Man2b2	0	0	3.029450909	1.765469265
Greb1	0	0	3.092604432	0
Serpinb6a	0	0	3.121131323	3.221179391
Csrp1	0	0	3.122776614	2.946838259
Ufm1	0	0	3.170153575	3.294368764
Rab5a	0	0	3.172173666	2.680614435
Mapk1	0	0	3.19176614	0
Lypla1	0	0	3.202814275	0
S100a13	0	0	3.203838348	0
Sri	0	0	3.206024476	3.250777335
Nudcd2	0	0	3.217856062	0
Sh3bgrl	0	0	3.24753307	2.770743033
Psat1	0	0	3.283013977	2.744933044
Ube2n	0	0	3.291479723	3.316544278
Itm2b	0	0	3.31124971	0
Anp32b	0	0	3.357895758	3.230983026
Ube2m	0	0	3.361851623	3.630748436
Basp1	0	0	3.371625747	3.985492373
Procr	0	0	3.371879438	0
Eif2s1	0	0	3.423038368	3.253906209
Lyz2	0	0	3.51850368	0
Tax1bp3	0	0	3.568588972	3.157453589
Ppic	0	0	3.570668637	3.299820231
Cdh6	0	0	3.604424023	3.106583496
Cxcl12	0	0	3.613941717	3.641290466
Efemp1	0	0	3.751594358	3.837320416
Ube2k	0	0	3.846557052	2.567564556
Lgals1	0	0	4.315772552	3.78238967
Dsp	0	0.558102725	0	0
Col12a1	0	0.997293523	1.949513817	1.55286991
Cobll1	0	1.06563625	0.869591727	1.857170555
Stk25	0	1.23724699	2.224695835	2.370177767
Nt5e	0	1.27237568	1.48242446	0
Anpep	0	1.355358446	0	0
Ctnnb1	0	1.395387623	2.48186328	2.39766718
Dsc2	0	1.466640093	0	0
Tfrc	0	1.501597157	0	0
Xdh	0	1.597917886	0.8977378	0
Olfml3	0	1.60314815	0	0
Cops4	0	1.633439842	2.455083968	2.432723068
Iqgap1	0	1.645175909	2.123238918	2.643699173
Fat1	0	1.703197474	0.885250852	1.817019871
Myh10	0	1.703947493	2.222233731	2.467581609
Naglu	0	1.710531059	0	1.839279281
AU040320	0	1.728818398	0	0
Tgm1	0	1.760046333	0	0
Mogs	0	1.786791192	0	0
Hspg2	0	1.794647806	2.477898776	2.597331273
Adam17	0	1.798835765	1.80374657	0
2-Sep	0	1.82907178	2.760315342	3.238201942
Cdc42bpa	0	1.842659334	0	0
Pacsin2	0	1.855701408	2.890377722	2.932133474
Mgam	0	1.858513519	0	0
Man2a1	0	1.858854653	1.640368293	1.331757314
Apol9a	0	1.890676279	0	0
Lipa	0	1.903589315	2.415937793	0
Clstn1	0	1.92023263	2.102899346	1.414942695
Nhlrc3	0	1.920919699	0	0
Anxa5	0	1.921153556	3.566741382	3.449572737
Btd	0	1.921735938	1.777673996	2.625057108
Fscn1	0	1.925600986	2.735372861	3.408278874
Anxa2	0	1.92914164	3.241750118	3.627375348
Capn2	0	1.930263026	2.627354899	2.600438984
Ptprg	0	1.940344545	1.44193666	0
Adam15	0	1.995954294	2.491888748	2.113140751
Gns	0	2.018107798	2.350113381	2.810519811
Vps35	0	2.039336373	2.431921679	2.514351826
Dpp7	0	2.044692844	0	2.849997417
Pxdn	0	2.047476609	2.164008142	2.387790449
Usp14	0	2.061485003	2.495487909	2.654155112
Ptprf	0	2.061764972	2.018469264	0
Atxn10	0	2.063233777	2.59548455	1.798400547
Anxa6	0	2.063905168	1.754140228	2.632455943
Hsph1	0	2.070163942	2.109253831	2.437211859
Itih5	0	2.085315136	1.271035131	0
Ppp1r7	0	2.093295433	2.471795438	0
Gusb	0	2.106395553	0	0
Ext2	0	2.121943624	2.80536013	2.688820445
Rras2	0	2.122950717	2.586753757	2.878122085
Acot13	0	2.146084657	1.856380064	0
Ntn5	0	2.174594182	3.629177155	0
Rars	0	2.174749449	2.923330753	2.830961211
Ddx5	0	2.181797986	2.157105185	2.72430309
Itgb1	0	2.187855479	2.488306417	2.855992612
Cfh	0	2.195908148	0	0
Serpinh1	0	2.229646501	2.361740942	2.859597047
Gnas	0	2.24496781	1.587075803	2.418489235
Eps8l2	0	2.247261567	2.479887086	2.771711901
Prcp	0	2.255468898	2.443443083	2.09070664
Ldlr	0	2.264192078	2.264071331	0
Cttn	0	2.265397383	2.908515207	2.70549147
Rps9	0	2.274067116	3.545936758	2.802334275
Aplp2	0	2.283328041	3.127524729	2.668697823
Adam9	0	2.320173135	0	2.25912882
Col18a1	0	2.33634524	1.688789842	0
Arf5	0	2.345375863	3.191542944	2.522486316
Vasn	0	2.346348722	0	2.789607027
Ncl	0	2.347759752	2.948176466	2.948904552
Htra1	0	2.351407118	2.611624608	2.444097994
Flna	0	2.355712407	2.968848934	3.385322539
Phgdh	0	2.364939257	3.279183419	3.38770233
Wars	0	2.365403083	2.414669486	2.663660368
Arf4	0	2.371311597	2.730974265	2.076687004
F12	0	2.373149285	0	0
Fam3c	0	2.384400108	2.419640044	0
Edf1	0	2.403452944	3.248859984	0
Cant1	0	2.406035979	1.77326358	2.05313965
St3gal1	0	2.407179904	2.124798266	0
Hpn	0	2.41094229	0	0
Dnaja1	0	2.415065525	2.705567203	0
Uxs1	0	2.418289342	2.263833228	2.060205496
Ndrg1	0	2.446037921	2.179193792	2.682161398
Edn1	0	2.450618469	0	0
Ang	0	2.479155066	0	0
Agrn	0	2.499224069	2.647861131	0
Pepd	0	2.507110087	2.454210298	1.889891545
Sqstm1	0	2.517684341	2.590021815	2.555285511
Dsg2	0	2.522675653	2.66952049	2.75206249
Lman1	0	2.547116205	2.053325461	0
Aprt	0	2.551777526	3.124703745	2.772774914
Furin	0	2.559386461	2.003414511	0
Fth1	0	2.565828259	2.537090608	0
Adamts1	0	2.570189169	1.64909354	1.491543855
Rac2	0	2.584489635	3.63967786	2.801891942
F9	0	2.599036656	0	0
Agmat	0	2.617767739	0	0
Rac1	0	2.630594826	3.554663115	3.209544451
Pcsk6	0	2.640709668	1.975953285	2.180183397
Angpt2	0	2.641861628	0	0
Asah1	0	2.686712946	2.459687214	2.288815313
Man1a	0	2.687445228	3.133379109	0
Lsr	0	2.68903369	2.817469094	3.4193075
Dusp3	0	2.691199113	3.331075813	3.538473886
Otub1	0	2.706164933	3.077676129	3.010151784
Rnh1	0	2.707474399	3.339524932	2.817437843
Amy1	0	2.710085459	2.715857842	0
Minpp1	0	2.712442703	2.709420266	2.535847708
Serpina11	0	2.71722583	0	0
Smoc1	0	2.738802833	0	2.208019623
Serpina7	0	2.748368618	0	0
Gnptg	0	2.754398009	0	0
Pef1	0	2.755206163	2.479414835	2.66962476
Igsf8	0	2.762723952	2.668538383	0
Cnn2	0	2.76729137	3.208849542	3.757917211
Plod3	0	2.777154379	2.482540754	2.539427386
App	0	2.779876885	3.126256745	3.058306546
B4galt1	0	2.793390009	2.53159915	1.545148864
Lgmn	0	2.809224744	2.214199176	3.206426346
Hprt	0	2.818204051	3.337117233	3.46534436
Adam10	0	2.821241968	2.904684194	2.488094878
Gpc4	0	2.833503163	0	1.379302339
Ctbs	0	2.84686105	2.053748923	0
Ifnar2	0	2.866063457	2.635532665	2.646416596
Golm1	0	2.890129268	3.102038934	3.033073839
AI182371	0	2.893818712	0	0
Serpina10	0	2.90831	2.628983872	1.653060415
Cotl1	0	2.913066501	2.906892557	3.025175135
Bmp1	0	2.928721611	2.763585255	2.825834939
Tpp1	0	2.933238064	3.025752563	3.214083067
Sparc	0	2.949020369	3.201210192	3.160550354
Sh3bgrl3	0	2.957670157	3.996678556	3.986956511
Pros1	0	2.970091362	2.94153356	2.550324659
Kera	0	3.00205201	2.532459506	3.182339262
Rtn4	0	3.009380751	3.064668146	3.750104013
Rhoc	0	3.009606635	3.240536985	3.208888212
Cel	0	3.015348449	0	0
Arf1	0	3.015467003	3.571271547	3.384582093
Csf1	0	3.035340543	2.972408499	3.173067281
Cfi	0	3.051164821	2.659331068	0
Cdc42	0	3.053008604	2.888044121	3.322208623
Ppt1	0	3.080837594	2.44898268	2.235294662
Bst2	0	3.087289205	0	0
Fkbp2	0	3.093416087	3.114047275	0
St6gal1	0	3.093985165	2.986541179	2.850082391
Fbln2	0	3.098982455	4.046616717	4.403182942
Ctsh	0	3.103421752	2.680520367	0
Tsku	0	3.110947456	1.763491325	0
Fst	0	3.125643116	2.781443892	2.211058914
Vtn	0	3.129661801	0	0
Cdh2	0	3.130007158	3.554416632	3.705625759
Col4a2	0	3.144317993	3.249780124	3.48805499
Lman2	0	3.151183706	2.661194969	0
Tceb2	0	3.160087263	0	3.569768078
C1ra	0	3.16054429	2.246947109	0
Pla1a	0	3.161557701	2.685295506	2.790252141
Gm6484	0	3.161850254	2.478801338	2.316431681
Hgfac	0	3.214360938	0	0
Arpc5l	0	3.22232023	3.020132791	0
Psap	0	3.231219483	3.396010463	3.756387901
Sdcbp	0	3.237964869	3.191115916	2.706023906
Bax	0	3.24489282	3.159731778	3.344431992
Psmd14	0	3.284800231	3.019577475	0
Ggh	0	3.288720049	2.993530071	3.67431909
Tpm4	0	3.298685923	3.85571173	4.325083691
Angptl4	0	3.308658769	2.944244472	2.769438883
Gm2a	0	3.313363764	0	3.375021483
Snrpe	0	3.313520577	3.251716913	3.134539222
Mmp14	0	3.332087153	3.24092379	3.17422447
Vat1	0	3.334807856	3.766268758	4.059291749
Ctla2a	0	3.338467611	3.531047734	3.773385192
Igfbp7	0	3.339689209	4.269905154	4.825897283
Clic1	0	3.340146143	3.790751638	4.349081713
Apoh	0	3.394413629	0	0
S100a10	0	3.40486942	4.055909303	4.445372168
Rnaset2b	0	3.410204262	2.877042626	2.8634233
Mfge8	0	3.452560097	3.446155243	3.190543391
Cd44	0	3.465182363	3.511273178	3.068195453
D17Wsu104e	0	3.466445985	3.351029299	4.04410508
Atp6ap1	0	3.542047025	3.02768631	2.543921409
Grn	0	3.544202487	2.717910898	3.19238412
Ngf	0	3.560646802	3.148176321	2.991204086
C8g	0	3.570767067	0	0
Il1f9	0	3.601101151	0	0
Lgals3bp	0	3.603293801	3.517203396	3.310421049
Hbegf	0	3.664951183	3.09452657	0
Dbnl	0	3.667390826	2.207733158	2.269340758
Spon2	0	3.67295878	3.96058276	3.768001691
Fgl1	0	3.676819201	0	0
Lcn2	0	3.677232899	2.803835571	0
Krt14	0	3.679589359	3.538000576	3.242279829
Tcn2	0	3.69212194	3.748669987	3.659067839
Krt15	0	3.696481245	3.507941838	3.349026872
Krt10	0	3.698512885	3.883583283	3.394613953
Lgals3	0	3.738615089	4.322669778	4.483615707
Mup14	0	3.750945268	3.236848589	0
Ecm1	0	3.757672515	3.924131276	3.904785557
Cpe	0	3.762281005	3.564738598	3.961451497
Ctgf	0	3.775301318	3.968272092	4.063477426
Il18bp	0	3.810951936	0	0
Hspb1	0	3.813974476	4.144046098	4.433642539
Tinagl1	0	3.826343631	4.295407094	3.903550379
Qpct	0	3.827742468	3.571482415	3.514708315
Cstb	0	3.880742046	4.351276408	4.425467809
Ambp	0	3.882981111	3.676764554	1.949566322
Rarres2	0	3.947330788	0	0
Atp6ap2	0	3.990829939	3.667046591	3.400206714
Sdc4	0	4.076117027	3.955676951	3.136799685
Ccl20	0	4.142497592	4.457454537	4.633621398
Plaur	0	4.225961718	3.643363218	2.944149209
Tagln2	0	4.228596293	4.780063201	5.081365421
Hpx	0	4.301192854	3.854708693	0
Cst3	0	4.327147018	4.605278635	3.886565007
Spp1	0	4.352012045	4.387655681	3.812980177
Serpine1	0	4.37393326	4.530659379	4.498184938
Igf1	0	4.374684761	4.556920669	3.764038458
Ccl2	0	4.409972845	4.461372891	3.937173723
Dync1h1	0.548323585	1.645794729	1.598356716	1.954250757
Plec	0.860122544	1.158430376	1.37783113	1.782241919
Tg	0.916342787	0	0	0
Pcnt	0.91793343	0	0	0
C2	0.933331365	2.991692704	2.737293723	2.611686315
Iigp1	1.006753566	0	1.146194874	0
Gart	1.032281123	0	2.042129738	2.219067456
7-Sep	1.209845309	1.818504418	2.765927976	3.152218809
11-Sep	1.227132944	2.077863261	2.727887148	3.794083751
Psmd7	1.346543302	2.757061263	2.731219179	2.981573923
Col4a5	1.395641684	0	0	0
Masp1	1.412987495	0	2.028372666	2.399191182
Iqgap2	1.475644354	3.456344108	1.874189622	0
Plod1	1.535450673	3.118707261	2.639827554	2.696601794
Fetub	1.583485886	3.597418122	2.435897146	0
Plaa	1.584961479	0	1.55921054	0
Lbp	1.665937302	2.979629043	2.120926291	2.301731581
Eif6	1.678956587	3.038975219	3.84907278	3.912090781
Arsb	1.698777525	1.134148268	1.358706009	0
Lamc1	1.729895403	1.976869679	1.876288171	0
Hc	1.752082401	1.577908188	0	0
Acp5	1.753743017	3.136571053	2.732445774	0
Psmd3	1.813982896	1.957915659	2.278694316	2.085884669
Actr3	1.832847369	2.804246888	3.14483243	2.939417746
Igfals	1.833168241	2.657988602	2.039660455	0
Snx2	1.835230409	2.28994445	3.157051948	2.58111094
Col2a1	1.836723102	0	0	2.291057735
F5	1.842896447	2.43620154	2.408126909	1.888065192
Nid1	1.853172723	3.992297643	4.140009434	3.711770243
Cacna2d1	1.865059535	0	0	0
Sdc1	1.866465286	4.060007855	3.283547629	3.445671331
Sema4c	1.891162096	0	0	0
St13	1.903079639	2.797953566	3.246634798	3.2036519
Myh11	1.91673123	1.21011164	2.10057469	2.397488017
Cd14	1.948310586	3.346667876	2.98867035	2.245006548
Hnrnpm	1.974443798	2.264362038	1.681207624	2.035923143
Gda	1.974825232	0	0	0
Apcs	1.977735163	0	0	0
Pafah1b2	1.989765582	3.020213717	3.265279013	3.495758604
Spen	1.991773788	0	0	0
Clic4	1.995699011	2.816475819	3.406560468	3.633765994
Dnaja2	2.004828322	0	2.235445142	2.324412779
Flnb	2.00853209	2.637785215	3.153744808	3.40520325
Eif3h	2.010215075	2.150578365	2.058058845	2.038743494
Txnrd1	2.012693581	3.025040965	3.156881803	3.276248564
Rbmxl1	2.014646167	1.784186201	2.02865858	2.113583564
Tln1	2.031052795	2.223215302	2.361861602	2.714130412
C6	2.042046371	1.7780686	0	0
Psmc5	2.051071816	2.574012478	2.633964057	2.735107701
Fam162a	2.052274799	0	0	0
Psmd12	2.052552851	0	2.546320752	1.993981691
Cpn1	2.062730261	3.42012074	2.970311995	2.761730181
Rnpep	2.067553086	0	0	2.893012635
Ruvbl2	2.079053389	1.545115053	2.563503416	2.695769305
Hadhb	2.085459846	2.280943754	2.314946896	0
Cdh13	2.087943609	0	0	2.101220341
Eif2a	2.089543692	0	2.429007754	2.406776963
Pkm	2.090309954	3.560558542	4.260918882	4.415207343
Gyk	2.10529611	0	0	0
Lrg1	2.116759741	3.295330609	0	0
Gars	2.121860569	2.403496718	3.199215084	3.389549666
Galk1	2.125521091	2.254953696	2.423666759	0
Afm	2.131431912	2.631663522	2.207832783	0
Ap2m1	2.142367111	0	2.648728136	1.939230561
Cdc37	2.145615511	0	2.516344257	2.554618763
Nt5c	2.149872419	2.655265252	3.242713185	3.257534701
Chid1	2.151447437	0	0	2.030054548
Atp5j2	2.159082041	0	0	0
Tars	2.169578374	1.847011176	2.385845382	1.964534165
Myh9	2.170872142	2.312704576	2.660652983	3.077671019
Cox4i1	2.173667922	2.76621674	0	0
Rab7	2.176385111	3.130244566	3.335128715	3.082287421
Pdcd6ip	2.177949541	2.131649126	2.819808801	3.242168486
Actn1	2.179331955	3.360075958	3.749315221	3.971570023
Mvp	2.181186063	2.351771374	2.946153174	2.964163803
Cct4	2.184423715	2.168769143	2.859039247	3.092616198
Scrn2	2.192045415	2.316273388	1.848816049	0
Dpp3	2.193262439	1.641774406	2.795814479	2.576470835
Postn	2.201452884	2.61774702	2.322783302	2.576964396
Tgm2	2.232859672	3.105848888	3.196306155	2.888590578
Hspa13	2.240074204	3.046264021	1.677436806	2.951548832
Gaa	2.245370544	2.426894277	1.486870717	1.461639201
Xylb	2.249195017	0	0	0
Psmb5	2.257620203	3.041454002	3.509489995	3.320742129
Pcsk9	2.260540889	3.490118134	3.251565375	2.806327757
Hdlbp	2.274531697	1.88728734	1.74709944	1.997022374
Gpd1l	2.278835135	2.079350714	2.326625261	0
Atp6v1a	2.281407209	2.066684421	2.285670042	2.560899782
Aldh16a1	2.289026927	0	1.85672533	0
Aars	2.289255643	1.442228444	2.172563842	2.025236004
Dnajc3	2.299570864	2.447655234	2.3993117	2.278499933
Cdh1	2.303700377	3.56997462	3.3885187	2.978016071
Tcp1	2.309115387	2.530960263	2.814814243	2.918617885
Copa	2.311899213	2.151578645	2.013002198	1.889203564
Snx12	2.314088206	0	2.936884849	2.832020995
Arpc1b	2.323974445	3.096744598	3.439906294	3.32664207
Bola1	2.325264539	2.035847057	2.107298595	0
Lta4h	2.327115997	0	2.500030809	2.313398863
Pdzk1	2.341442484	0	0	0
Ppa2	2.354116387	2.46067446	2.301960599	0
Cct3	2.361769857	2.103245291	3.125377441	3.186753767
Mbl2	2.363889262	3.216819277	3.063260668	0
Cacybp	2.387695266	0	2.216633702	2.121653961
Nme3	2.392624425	1.951738624	0	0
Gpld1	2.408152999	2.877940825	2.096658655	0
C1qbp	2.417358291	2.560989388	2.544346105	0
Pgd	2.421102321	3.109750404	3.847796528	3.93585383
Gamt	2.43024768	3.012472765	0	2.425111775
Ttc38	2.43112593	0	0	0
Wdr1	2.432463298	3.168029299	3.487766909	3.525858149
Ghr	2.434582109	2.366987952	2.439131459	2.221960516
Pdxk	2.435955963	0	0	0
Sdf4	2.443185568	3.130484479	3.346373449	3.497209528
Cand1	2.445074479	1.620660664	1.962707769	2.553895007
Vcl	2.459758682	2.7418732	3.037656564	3.019118422
Nampt	2.464156825	2.187146233	0	1.863825436
C8b	2.466762222	2.981864626	0	0
Hspa4	2.468011422	2.119892633	2.961317985	2.869964828
Dpp4	2.471643178	1.725068162	2.138239035	0
Ptbp1	2.473468243	2.79415293	2.829439465	3.119269045
Cct7	2.476975351	2.386722261	3.010314806	3.089703811
Gss	2.482797709	2.618308308	2.805921857	2.551457367
Slc27a2	2.483177724	0	0	0
Cp	2.492941445	4.073993203	4.083452843	3.582636887
Eif3b	2.495598932	1.837551972	2.105652402	2.129778356
Cyr61	2.502069803	3.242666461	2.92062096	2.875767841
Myg1	2.519705964	0	2.398909441	2.624580988
1300017J02Rik	2.524686813	3.29530587	2.562889084	0
Apoa5	2.52786582	2.744283052	0	0
Ppp2r1a	2.530373094	2.80337663	3.098145693	3.334456223
C8a	2.531090005	1.730276066	0	0
Pfdn2	2.541451589	0	2.915878459	2.835753475
Psme1	2.545161468	0	2.916110653	3.102123445
Ostf1	2.551649961	2.240360651	3.086067462	3.233371307
Actr2	2.555701076	2.900551406	3.224802051	3.167495527
Apol8	2.562304574	0	0	0
Coro1b	2.570907919	2.793343929	2.378427047	2.613751284
Ola1	2.574889078	0	2.179692125	2.764398666
Apob	2.584639761	3.219662209	2.385411964	1.911405911
Txnl1	2.586319373	0	3.629632336	3.720780428
Coasy	2.586434554	0	0	0
Snrpd3	2.603118481	0	2.822569146	0
Pitpnb	2.60358094	0	0	0
Ddc	2.604221417	0	2.021359006	0
Atic	2.608836244	2.515846884	3.39065286	3.177533491
Igfbp6	2.608998418	3.275018772	2.689078171	2.971062373
Psmb4	2.615445605	2.690772114	3.530502166	3.40656636
Ppp1ca	2.616287723	2.685055468	2.831990558	3.420662555
Prg4	2.616943779	2.973257948	1.805777774	0
Dars	2.619596279	2.132420234	2.34976484	2.686669528
Cryl1	2.623346876	0	0	0
Hrg	2.626599469	2.458659858	0	0
Pgls	2.62819645	2.394335318	3.311166429	2.988392463
Lcp1	2.631830735	3.21867943	3.390591571	3.414243824
Inhba	2.632215577	3.533811194	3.852477546	3.927105975
Gc	2.641514872	4.343087045	3.875634863	2.925764779
Ybx1	2.641754913	2.979320583	3.161300877	2.871776692
Arpc2	2.643729958	2.883476826	3.237532073	2.930085564
Mmp2	2.643827356	2.786806155	2.314725656	0
Angptl3	2.651811005	2.703387317	0	0
Cct8	2.653214175	2.849624745	3.276574356	3.317785467
Atp1a1	2.654796714	2.267020116	0	0
Nedd8	2.667032188	0	3.345069289	3.270308222
Isoc1	2.675456302	2.006013528	0	0
Cntn1	2.686133807	2.303297264	1.789648421	2.102400743
