TF	len(totalGenes)	len(deGenes)	B1	B1Gene	B2	B2Gene	Ratio	Pval
Mxd4	718	60	10	Serpinb9,Sema3e,Icam2,Slc9a3r2,Itm2b,C1ra,Angptl4,Gart,Orm2,Blvrb	0		0	1
Mybbp1a	718	60	9	Ppil1,Snrpb,Anp32b,Ncl,Ruvbl2,Eif3b,Srsf1,Kpnb1,Cad	0		0	1
Mybl1	718	60	0		0		100	1
Mybl2	718	60	11	Impdh2,Ppil1,Cdk1,Ruvbl2,Cct2,Hdgf,Kpnb1,Hmgb2,Gstk1,Cad,H2afx	1	Gstk1	1.09666666666667	1
Myc	718	60	3	Hnrnpa1,Gnb2l1,Rpl10a	0		0	1
Mycn	718	60	9	Ehd4,Impdh2,Rbmxl1,Cct3,Cacybp,Cct7,Cct6a,Cct5,H2afx	0		0	1
Myst4	718	60	0		0		100	1
Naca	718	60	20	Ppil1,Cdk1,Snrpb,Anp32b,Ncl,Ruvbl2,Cct2,Psma2,Srsf1,Kpnb1,Hmgb2,Rpl4,Cad,Rpl14,Gnb2l1,Rpl26,Rps5,Rpl7,Rpl10a,Hagh	1	Hagh	0.57719298245614	1
Nanog	718	60	3	Serpinb6c,Itm2b,Gart	0		0	1
Ncoa1	718	60	5	Cdk1,Aprt,Galk1,Eif3b,Kpnb1	0		0	1
Nfx1	718	60	5	Pdcd2,Igf1,Cct2,Hnrnpa1,Ctsb	0		0	1
Nfyb	718	60	10	C1qb,Pdcd2,Plbd2,Mapk1,Cd14,Rbmxl1,Tars,Ola1,Hnrnpa1,Ezr	0		0	1
Nkrf	718	60	5	Rbmxl1,Cand1,Ola1,Cct2,Cct5	0		0	1
Nkx1-2	718	60	0		0		100	1
Nkx6-3	718	60	12	Gnpda1,Sh3bgrl,Anpep,AU040320,Pepd,Aprt,Gart,Bpnt1,P4hb,Treh,Glul,Ppa1	0		0	0.612818086770286
Nolc1	718	60	11	Ppil1,Anp32b,Ncl,Ruvbl2,Tars,Eif3b,Cct2,Srsf1,Kpnb1,Cct6a,Cad	0		0	0.613299656314104
Npm1	718	60	17	Impdh2,Anp32b,Ncl,Snrpe,Rbmxl1,Ruvbl2,Cct2,Srsf1,Hnrnpa1,Hmgb2,Cct6a,Rpl4,Cct5,Rpl14,Rpl7,Tubb5,Rpl10a	0		0	0.386181571031542
Nr0b1	718	60	2	Itm2b,Rnh1	0		0	1
Nr1d1	718	60	3	Snrpe,Rbmxl1,Cct5	0		0	1
Nr1d2	718	60	1	Tubb5	0		0	1
Nr6a1	718	60	1	Itm2b	0		0	1
Nrf1	718	60	2	Hnrnpa1,Gnb2l1	0		0	1
Olig1	718	60	46	F12,F9,B4galt1,Apoh,C8g,Masp1,1300017J02Rik,Apoa5,C8a,Hrg,Angptl3,Cntn1,C9,Itih1,Mup10,Lipc,Proc,Serpind1,Plg,A2m,Pzp,Cpb2,Glyat,Apon,Serpinf2,Dpys,F2,Aldh8a1,Mug1,Lcat,Apoc4,Apof,Fgb,Ftcd,Tubb4a,Hgd,Ces1c,Azgp1,Mup3,Akr1d1,Haao,Kng1,Serpinc1,Aldoc,Bhmt2,Serpina3k	8	Dpys,Aldh8a1,Lcat,Ftcd,Hgd,Haao,Bhmt2,Serpina3k	2.30877192982456	0.0550474587237463
Olig2	718	60	7	Ckb,Man2a1,B4galt1,Cntn1,A2m,Tubb4a,Aldoc	0		0	1
Otx2	718	60	3	Serpinb6c,Itm2b,Gart	0		0	1
Pa2g4	718	60	21	Impdh2,Pfas,Cdk1,Anp32b,Ncl,Snrpe,Rbmxl1,Cct3,Cacybp,C1qbp,Eif3b,Ola1,Cct2,Hdgf,Kpnb1,Cct6a,Gstk1,Cad,Cct5,Tubb5,H2afx	1	Gstk1	0.548333333333333	1
Pcgf6	718	60	0		0		100	1
Pcna	718	60	9	Cdk1,Anp32b,Snrpe,Ruvbl2,Cct2,Srsf1,Hmgb2,Rpl7,H2afx	0		0	1
Phf5a	718	60	13	Impdh2,Pfas,Anp32b,Snrpe,Rbmxl1,Cct7,Cct2,Hnrnpa1,Cct6a,Cct5,Pcbp1,Aimp1,H2afx	0		0	0.61498086763534
Phox2a	718	60	3	Serpinb6c,Itm2b,Gart	0		0	1
Pitx3	718	60	3	Kera,Ywhaq,Pgam1	0		0	1
Pou2f1	718	60	1	Galm	0		0	1
Pou3f1	718	60	5	Krt14,Krt15,Krt10,Krt1,Krt5	0		0	1
Pou4f2	718	60	2	Serpinb6c,Itm2b	0		0	1
Pou5f1	718	60	3	Serpinb6c,Itm2b,Gart	0		0	1
Ppp1r8	718	60	10	Snrpb,Ncl,Rbmxl1,Ruvbl2,Srsf1,Kpnb1,Hmgb2,Cad,Rpl7,H2afx	0		0	1
Prdm14	718	60	10	Nans,Map2k1,Serpinb6c,Itm2b,Fam3c,Ifnar2,Golm1,Ggh,Angptl4,Thbs4	0		0	1
Prdm4	718	60	7	Impdh2,Tcp1,Cct7,Cct2,Cct6a,Cct5,Scp2	1	Scp2	1.82777777777778	0.460926998791185
Prdx5	718	60	10	Impdh2,Anp32b,Tcn2,Cstb,Gss,Hnrnpa1,Cct5,Acy3,Pbld1,Aldob	2	Pbld1,Aldob	2.74166666666667	0.206527385846304
Psip1	718	60	14	Plbd2,Anpep,Dpp7,Snrpe,Cd14,Rbmxl1,Tcp1,Cand1,Cct7,Cct2,Hnrnpa1,Cct5,Ctsb,Prdx5	0		0	0.61935056775045
Psmc3ip	718	60	5	Impdh2,Tcp1,Cct7,Cct2,Cct5	0		0	1
Pura	718	60	1	Cdk1	0		0	1
Pus1	718	60	4	Nudt5,Tars,C1qbp,Cad	0		0	1
Rbbp8	718	60	2	Cdk1,Hmgb2	0		0	1
Rbmxl1	718	60	12	Impdh2,Anp32b,Snrpe,Cct2,Hnrnpa1,Hmgb2,Cct6a,Eif3i,Cct5,Rpl14,Rpl7,Tubb5	0		0	0.612818086770286
Rbpj	718	60	21	Nras,Icam2,Blvra,Anxa3,Ralb,Glipr2,Serpinb6a,Adam15,Rars,Ncl,Rhoc,Cd44,Spp1,Ccl2,Cd14,Clic4,Psma2,Kpnb1,Grhpr,Hagh,Acat1	2	Hagh,Acat1	1.15438596491228	0.693557628287242
Rcor2	718	60	1	Gart	0		0	1
Relb	718	60	20	Pfn2,S100a6,Csk,Ltbp2,Vasp,Shisa5,Sri,Lgals1,Iqgap1,Sh3bgrl3,Vat1,Clic1,Cd44,Tagln2,Ccl2,Myh9,Arpc1b,Ostf1,Pebp1,B2m	0		0	0.396502119772841
Rest	718	60	6	Nudcd2,Ncl,Cntn1,Kpnb1,Lgals9,Cat	0		0	1
Rfc1	718	60	3	Rbmxl1,Cct2,Cct5	0		0	1
Rhox5	718	60	2	Itm2b,Gart	0		0	1
Rnf4	718	60	7	Cdk1,Lypla1,Tfrc,Pafah1b2,Srsf1,Kpnb1,Hmgb2	0		0	1
Rora	718	60	8	Cdk1,Aprt,Ggh,Iqgap2,Hmgb2,Galm,Haao,H2afx	1	Haao	1.56666666666667	0.506221011289447
Ruvbl2	718	60	10	Impdh2,Cdk1,Snrpb,Cct7,Eif3b,Cct2,Kpnb1,Cad,Scp2,H2afx	1	Scp2	1.21851851851852	0.585555024557153
Rybp	718	60	1	Cand1	0		0	1
Sall4	718	60	3	Itm2b,Gart,Sdc1	0		0	1
Sap30	718	60	11	Ppil1,Nudcd2,Hmgb2,Proc,Pigr,Glyat,Mthfd1,Aldh8a1,Treh,Akr1d1,Bhmt2	3	Mthfd1,Aldh8a1,Bhmt2	4.1125	0.0614674253520279
Sarnp	718	60	11	Anp32b,Ncl,Snrpe,Rbmxl1,Cacybp,Cct2,Psma2,Srsf1,Hnrnpa1,Hmgb2,Cct5	0		0	0.613299656314104
Satb2	718	60	15	Chmp2b,Gna11,Nans,Sri,Mgam,Cant1,Ifnar2,Golm1,Spp1,Pmm2,Tsta3,Pigr,Rdx,Thbs4,Saa1	0		0	0.625545116102201
Set	718	60	28	Impdh2,Pfas,Cdk1,Snrpb,Anp32b,Ncl,Snrpe,Rbmxl1,Ruvbl2,Cacybp,Cct2,Psma2,Srsf1,Hdgf,Kpnb1,Hnrnpa1,Hmgb2,Cct6a,Rpl4,Cad,Cct5,Gnb2l1,Rps5,Rpl7,Tubb5,Rpl10a,Hagh,H2afx	1	Hagh	0.406172839506173	0.720490888618088
Sfpq	718	60	11	C1qb,Plbd2,Snrpe,Igf1,Rbmxl1,Cct2,Srsf1,Hnrnpa1,Hmgb2,Cct5,Ctsb	0		0	0.613299656314104
Sin3a	718	60	0		0		100	1
Six4	718	60	3	Ezr,Aimp1,Galm	0		0	1
Smarca2	718	60	5	Itm2b,Gart,Eif6,Tsta3,Rdx	0		0	1
Smarca5	718	60	7	Ncl,Snrpe,Tcp1,Cct2,Srsf1,Hnrnpa1,Hmgb2	0		0	1
Smarcc1	718	60	18	Impdh2,Pfas,Cdk1,Nudcd2,Lyz2,Ncl,Rbmxl1,Cct2,Srsf1,Hdgf,Kpnb1,Hmgb2,Cct6a,Cad,Cct5,Krt79,Tubb5,H2afx	0		0	0.387501293412469
Smarcc2	718	60	2	Nudcd2,Ncl	0		0	1
Smarce1	718	60	17	C1qb,Ckb,Ralb,Lpl,Anp32b,Lyz2,Lipa,Snrpe,Lgals3,Cd14,Rbmxl1,Tcp1,Cct2,Hnrnpa1,Cct5,Ctsb,Tubb5	0		0	0.386181571031542
Snapc4	718	60	4	Ncl,Ruvbl2,Atic,Cad	0		0	1
Sox15	718	60	0		0		100	1
Sox2	718	60	12	Prss35,Sema3e,Icam2,Ltbp2,Slc9a3r2,Wisp1,Itm2b,Col12a1,Ccl20,Krt79,Igfbp2,Actc1	0		0	0.612818086770286
Sp110	718	60	7	Ppic,Cttn,Rac2,Plaur,Iqgap2,Pigr,Haao	1	Haao	1.82777777777778	0.460926998791185
Srrt	718	60	6	Impdh2,Marcksl1,Anp32b,Eif3b,Hnrnpa1,Tubb5	0		0	1
Ssrp1	718	60	17	Impdh2,Snrpb,Anp32b,Basp1,Snrpe,Rbmxl1,Ruvbl2,Cct7,Cct2,Hmgb2,Cad,Cct5,Rpl14,Pcbp1,Tubb5,Prdx5,H2afx	0		0	0.386181571031542
Suz12	718	60	5	Nudcd2,Ncl,Srsf1,Hnrnpa1,Hmgb2	0		0	1
T	718	60	0		0		100	1
Tada2a	718	60	9	Impdh2,Pfas,Cacybp,C1qbp,Cct7,Cct2,Hdgf,Cct6a,Cct5	0		0	1
Taf1	718	60	7	Mapk1,Ncl,Ctsh,Atp6ap2,Cntn1,Hnrnpa1,Gpx1	1	Gpx1	1.82777777777778	0.460926998791185
Taf1b	718	60	0		0		100	1
Taf1c	718	60	0		0		100	1
Taf1d	718	60	6	Ncl,Snrpe,Rbmxl1,Cct2,Hnrnpa1,Hmgb2	0		0	1
Taf2	718	60	3	Cct2,Srsf1,Kpnb1	0		0	1
Taf4b	718	60	5	Impdh2,Fam20c,Tpp1,Cct2,Akr1a1	0		0	1
Taf5	718	60	4	Impdh2,Snrpe,Cct2,Prdx5	0		0	1
Taf6l	718	60	4	Ruvbl2,Cct7,Eif3b,H2afx	0		0	1
Taf7	718	60	3	Lmcd1,Itm2b,Cfl2	0		0	1
Taf9	718	60	6	Tcp1,Cct3,Cacybp,Hdgf,Cct5,Aimp1	0		0	1
Tardbp	718	60	6	Pfas,Snrpe,Rbmxl1,Cct2,Srsf1,Hnrnpa1	0		0	1
Tbp	718	60	1	Cct2	0		0	1
Tcea1	718	60	4	Tfrc,Pafah1b2,Atic,Cct6a	0		0	1
Tef	718	60	3	Snrpe,Rbmxl1,Hmgb2	0		0	1
Tet1	718	60	1	Prdx5	0		0	1
Tfap4	718	60	14	Gna11,Ppil1,Nudt5,Cdk1,Anp32b,Srsf1,Kpnb1,Hnrnpa1,Hmgb2,Cad,Gnb2l1,Rps5,Rpl7,H2afx	0		0	0.61935056775045
Tfcp2l1	718	60	41	Sri,Mgam,Eps8l2,Hpn,Dsg2,Golm1,Afm,Scrn2,Xylb,Cdh1,Pdzk1,Slc27a2,Coro1b,Cryl1,Gc,Flrt1,Pm20d1,Proc,Pigr,Glyat,Cryz,Serpinf2,Aldh8a1,Acsm1,Krt19,Krt8,Treh,Hgd,Krt18,Hoga1,Pbld1,Bmp7,Akr1d1,Haao,Kng1,Igfbp1,Pcbd1,Khk,Fbp1,Bhmt2,Aldob	10	Aldh8a1,Acsm1,Hgd,Hoga1,Pbld1,Haao,Khk,Fbp1,Bhmt2,Aldob	3.53763440860215	0.00254692883821031
Tfdp1	718	60	20	Impdh2,Pfas,Cdk1,Anp32b,Ncl,Snrpe,Rbmxl1,Tcp1,Cacybp,Cct2,Srsf1,Hdgf,Kpnb1,Hmgb2,Cct6a,Cad,Cct5,Aimp1,Tubb5,H2afx	0		0	0.396502119772841
Tfip11	718	60	2	Fscn1,Cad	0		0	1
Tgif1	718	60	1	Sdc1	0		0	1
Tgif2	718	60	20	Impdh2,Blvra,Fam20c,Lpl,Cdk1,Snrpb,Marcksl1,Serpinb6a,Dpp7,Asah1,Ctbs,Igf1,Ruvbl2,Gamt,Cct2,Creg1,Mmp12,Esd,Akr1a1,H2afx	0		0	0.396502119772841
Thap1	718	60	1	Tcp1	0		0	1
Tmpo	718	60	12	Cdk1,Anp32b,Ncl,Srsf1,Kpnb1,Hnrnpa1,Hmgb2,Gstk1,Gnb2l1,Decr1,Rpl7,H2afx	2	Gstk1,Decr1	2.19333333333333	0.271161865047361
Top2a	718	60	10	Impdh2,Cdk1,Anp32b,Snrpe,Ruvbl2,Cct2,Srsf1,Hmgb2,Cct5,H2afx	0		0	1
Topors	718	60	4	Nudcd2,Ncl,Kpnb1,Hmgb2	0		0	1
Trim27	718	60	13	Impdh2,Xdh,Adam17,Lipa,Snrpe,Igf1,Rbmxl1,Cct3,Cct2,Mmp12,Cct5,Ctsb,Prdx5	0		0	0.61498086763534
Trim28	718	60	12	Impdh2,Snrpb,Rbmxl1,Ruvbl2,Tcp1,Cct7,Cct2,Hdgf,Cct5,Tubb5,Prdx5,H2afx	0		0	0.612818086770286
Trp53	718	60	3	Ncl,Kpnb1,Cad	0		0	1
Tshz1	718	60	10	Serpinb6c,Sh3bgrl,Itm2b,Atp6ap2,Gart,Cacna2d1,Tgm2,Cntn1,Lgals9,Cat	0		0	1
Ttf2	718	60	13	Impdh2,Cdk1,Snrpb,Anp32b,Ncl,Ruvbl2,Cct2,Hdgf,Kpnb1,Hmgb2,Creg1,Cad,H2afx	0		0	0.61498086763534
Uhrf1	718	60	10	Impdh2,Cdk1,Anp32b,Snrpe,Ruvbl2,Cct2,Srsf1,Kpnb1,Hmgb2,H2afx	0		0	1
Xrcc6	718	60	4	Pdcd2,Tars,Cct2,Aimp1	0		0	1
Zbtb20	718	60	4	Cdk1,Aprt,Hmgb2,H2afx	0		0	1
Zbtb8a	718	60	1	Serpina1c	0		0	1
Zfat	718	60	2	Tfrc,Atic	0		0	1
Zfp184	718	60	5	Tcp1,Cct7,Cct2,Cct5,Vnn1	0		0	1
Zfp219	718	60	0		0		100	1
Zfp280c	718	60	7	C1qb,Plbd2,Pfas,Cd14,Rbmxl1,Srsf1,Hnrnpa1	0		0	1
Zfp36	718	60	10	Pfn2,Lama5,Shisa5,Lyn,Ostf1,Lcp1,Ctsc,Pebp1,Lgals9,B2m	0		0	1
Zfp410	718	60	19	C1qb,Anxa3,Lpl,Nudt5,S100a13,Anpep,Adam15,Cfh,Lgals3,Cstb,Igf1,Cd14,Cdh13,Hnrnpa1,Pcbp1,Cmbl,Ctsb,Sec13,C3	0		0	0.391024248587288
Zfp42	718	60	3	Serpinb6c,Itm2b,Gart	0		0	1
Zfp473	718	60	0		0		100	1
Zfp553	718	60	7	Pdcd2,Ncl,Snrpe,Rbmxl1,Cct2,Hnrnpa1,Cct5	0		0	1
Zfp57	718	60	0		0		100	1
Zfp593	718	60	1	Ola1	0		0	1
Zfp668	718	60	1	Tubb5	0		0	1
Zfp672	718	60	0		0		100	1
Zfpm2	718	60	22	Ltbp1,Kitl,Ccdc80,Col5a2,Fstl1,Vcan,Col4a1,Tgfb2,Col6a1,Pcolce,Axl,Wisp1,Cxcl12,Fscn1,Ptprg,Pxdn,Serpinh1,Vasn,Adamts1,Sparc,Col4a5,Mmp2	0		0	0.245989626092655
Zhx2	718	60	3	Cand1,Cct7,Cct5	0		0	1
Zic3	718	60	9	Prss35,Serpinb6c,Wisp1,Itm2b,Col12a1,Gart,11-Sep,Col2a1,Igfbp2	0		0	1
Zik1	718	60	4	Rbmxl1,Cand1,Cct6a,Cct5	0		0	1
Zkscan17	718	60	7	Impdh2,Adam17,Lgals3,Tcp1,Cct2,Cct5,Txndc17	0		0	1
Zscan10	718	60	2	Itm2b,Gart	0		0	1
