"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0003018"	"vascular process in circulatory system"	"18/129"	"164/23973"	9.53281449731168e-19	6.29165756822571e-17	2.55424694664811e-18	"Asic2/Ace/Acta2/Adcyap1/Adm/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Angpt1"	18
"GO:0009152"	"purine ribonucleotide biosynthetic process"	"19/129"	"202/23973"	1.87497492654871e-18	1.13435983056197e-16	4.60520157397929e-18	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss"	19
"GO:0008015"	"blood circulation"	"23/129"	"367/23973"	3.45926800810657e-18	1.66616328573402e-16	6.76418326816771e-18	"Asic2/Ace/Chrna7/Adipoq/Actc1/Acta2/Acvrl1/Adcyap1/Adh5/Adm/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Angpt1"	23
"GO:0006164"	"purine nucleotide biosynthetic process"	"19/129"	"209/23973"	3.57967478386768e-18	1.66616328573402e-16	6.76418326816771e-18	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss"	19
"GO:0009260"	"ribonucleotide biosynthetic process"	"19/129"	"209/23973"	3.57967478386768e-18	1.66616328573402e-16	6.76418326816771e-18	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss"	19
"GO:0050880"	"regulation of blood vessel size"	"17/129"	"147/23973"	3.7480987161219e-18	1.66616328573402e-16	6.76418326816771e-18	"Asic2/Ace/Acta2/Adcyap1/Adm/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3"	17
"GO:0003013"	"circulatory system process"	"23/129"	"369/23973"	3.90148427788959e-18	1.66616328573402e-16	6.76418326816771e-18	"Asic2/Ace/Chrna7/Adipoq/Actc1/Acta2/Acvrl1/Adcyap1/Adh5/Adm/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Angpt1"	23
"GO:0035150"	"regulation of tube size"	"17/129"	"148/23973"	4.21573399810519e-18	1.70034604590243e-16	6.90295625420733e-18	"Asic2/Ace/Acta2/Adcyap1/Adm/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3"	17
"GO:0046390"	"ribose phosphate biosynthetic process"	"19/129"	"212/23973"	4.68880311825489e-18	1.73519532134687e-16	7.04443511638571e-18	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss"	19
"GO:0009987"	"cellular process"	"119/129"	"13976/23973"	4.86989126937321e-18	1.73519532134687e-16	7.04443511638571e-18	"Ldlrap1/Re/Asl/Aanat/Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Acads/Asic2/Asic1/Ace/Macf1/Aco1/Aco2/Acox1/Acp1/Acp2/Acp5/Chrna1/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Acta1/Actb/Actc1/Actg1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam11/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam4/Adam5/Adam7/Adam8/Adam9/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Add2/Adh1/Adh7/Adh5/Adk/Adm/Gpr182/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adora3/Adprh/Parp1/Parp2/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Avil/Aebp1/Aebp2/Aga/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Dusp2/Itga7/Paox/Cenpj/Cd40/Cd40lg/A2m/Taf10/Adh4/Cpsf4/Atf7ip/Sap30/Mzb1"	119
"GO:0044763"	"single-organism cellular process"	"109/129"	"11500/23973"	5.01916002042482e-18	1.73519532134687e-16	7.04443511638571e-18	"Ldlrap1/Re/Asl/Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Acadl/Acadm/Acadvl/Acads/Asic2/Asic1/Ace/Macf1/Aco1/Aco2/Acox1/Acp2/Chrna1/Chrna4/Chrna6/Chrna7/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Adipoq/Acta1/Actb/Actc1/Actg1/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam11/Adam15/Adam17/Adam19/Adam2/Adam22/Adam3/Adam4/Adam5/Adam7/Adam8/Adam9/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Add1/Add2/Adh1/Adh7/Adh5/Adk/Adm/Gpr182/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Parp2/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Itga7/Cenpj/Cd40/Cd40lg/A2m/Taf10/Adh4/Atf7ip/Sap30/Mzb1"	109
"GO:0072522"	"purine-containing compound biosynthetic process"	"19/129"	"216/23973"	6.67654568005608e-18	2.20326007441851e-16	8.94465449959667e-18	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss"	19
"GO:0042592"	"homeostatic process"	"37/129"	"1263/23973"	7.98215125306494e-18	2.51958339553267e-16	1.02288437110214e-17	"Ldlrap1/Abca1/Abca4/Abcb7/Abcg1/Abl1/Abl2/Acadl/Acadvl/Apoc4/Aco1/Acox1/Acp5/Chrna1/Chrna7/Adipoq/Acvr1b/Acvr2a/Adam17/Adam8/Adcyap1/Adcyap1r1/Add1/Adm/Adnp/Adora1/Adora2a/Parp1/Adra1b/Adra1a/Adra2a/Adrb1/Adrb2/Adrb3/Ager/Napsa/Cd40"	37
"GO:0032879"	"regulation of localization"	"44/129"	"1864/23973"	9.05392081914464e-18	2.73881104779125e-16	1.11188501287741e-17	"Ldlrap1/Abca1/Abca2/Abcg1/Abl1/Abl2/Asic2/Asic1/Ace/Apoc4/Macf1/Chrna4/Chrna6/Chrna7/Chrnb2/Adipoq/Actn2/Acvr1b/Acvr2a/Acvrl1/Adam10/Adam15/Adam17/Adam8/Adam9/Adcyap1/Adcyap1r1/Add1/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adra2a/Adrb1/Adrb2/Acan/Ager/Angpt1/Angpt2/Ang/Cd40/Cd40lg/Mzb1"	44
"GO:0048518"	"positive regulation of biological process"	"64/129"	"4062/23973"	1.19627128416619e-17	3.47397180921862e-16	1.4103408823854e-17	"Ldlrap1/Abca1/Abcg1/Abi1/Abl1/Abl2/Asic2/Ace/Apoc4/Macf1/Acox1/Chrna4/Chrna6/Chrna7/Chrnb2/Adipoq/Actn2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Add1/Adk/Adm/Cfd/Adnp/Adora1/Adora2a/Adora2b/Adora3/Parp1/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Ager/Angpt1/Angpt2/Ang/Cebpb/Paox/Cenpj/Cd40/Cd40lg/A2m/Atf7ip/Mzb1"	64
"GO:0044767"	"single-organism developmental process"	"70/129"	"4873/23973"	1.63951591577952e-17	4.57803290329204e-16	1.85856055230067e-17	"Re/Asl/Pzp/Aatk/Abcg1/Abi1/Abl1/Abl2/Acadm/Asic2/Ace/Macf1/Aco1/Acp2/Acp5/Chrna1/Chrna7/Chrnb1/Chrnb2/Chrnd/Adipoq/Acta1/Actb/Actc1/Actg1/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam15/Adam17/Adam19/Adam22/Adam8/Adam9/Adamts1/Adcy6/Adcyap1/Adcyap1r1/Add1/Add2/Adm/Adnp/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Dusp2/Itga7/Cd40/Cd40lg/A2m/Taf10/Sap30"	70
"GO:0032502"	"developmental process"	"70/129"	"4899/23973"	2.20521454367802e-17	5.929576884112e-16	2.40725174358614e-17	"Re/Asl/Pzp/Aatk/Abcg1/Abi1/Abl1/Abl2/Acadm/Asic2/Ace/Macf1/Aco1/Acp2/Acp5/Chrna1/Chrna7/Chrnb1/Chrnb2/Chrnd/Adipoq/Acta1/Actb/Actc1/Actg1/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam10/Adam15/Adam17/Adam19/Adam22/Adam8/Adam9/Adamts1/Adcy6/Adcyap1/Adcyap1r1/Add1/Add2/Adm/Adnp/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Acan/Ager/Angpt1/Angpt2/Ang/Cebpb/Dusp2/Itga7/Cd40/Cd40lg/A2m/Taf10/Sap30"	70
"GO:0006936"	"muscle contraction"	"18/129"	"199/23973"	3.16569865573868e-17	8.20820437166529e-16	3.33231437446177e-17	"Chrna1/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Actc1/Actn2/Acta2/Adora1/Adora2b/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2"	18
"GO:0044710"	"single-organism metabolic process"	"67/129"	"4565/23973"	4.88294967569012e-17	1.22242119467277e-15	4.96270747438561e-17	"Ldlrap1/Asl/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abl1/Abl2/Acadl/Acadm/Acadvl/Acads/Macf1/Aco1/Aco2/Acox1/Chrna4/Chrna7/Adipoq/Actc1/Acvr1/Acvr1b/Acvrl1/Aspa/Adam15/Adam8/Adam9/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adh1/Adh7/Adh5/Adk/Adm/Cfd/Adnp/Adora1/Adora2a/Adora2b/Parp1/Parp2/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Ager/Angpt1/Ang/Paox/Cd40/Cd40lg/A2m/Taf10/Adh4/Atf7ip"	67
"GO:0006171"	"cAMP biosynthetic process"	"14/129"	"91/23973"	6.23080953602608e-17	1.50785590771831e-15	6.12149708802562e-17	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adm/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	14
"GO:0071875"	"adrenergic receptor signaling pathway"	"9/129"	"17/23973"	6.67726565732074e-17	1.56377253781124e-15	6.34850385076335e-17	"Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3"	9
"GO:0030804"	"positive regulation of cyclic nucleotide biosynthetic process"	"13/129"	"71/23973"	7.61799117041972e-17	1.72833174678897e-15	7.01657081486027e-17	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	13
"GO:0003012"	"muscle system process"	"19/129"	"249/23973"	9.61237447954016e-17	2.11472238549884e-15	8.58521484616027e-17	"Chrna1/Chrnb1/Chrnb2/Chrnd/Chrne/Chrng/Actc1/Actn2/Acta2/Adk/Adora1/Adora2b/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2"	19
"GO:0090066"	"regulation of anatomical structure size"	"22/129"	"381/23973"	1.11705250637991e-16	2.38523564597592e-15	9.68342729988774e-17	"Aatk/Asic2/Ace/Acta2/Adcyap1/Add1/Add2/Adm/Adnp/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil"	22
"GO:0052652"	"cyclic purine nucleotide metabolic process"	"15/129"	"122/23973"	1.50918465044118e-16	3.13048016062943e-15	1.27089233721363e-16	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	15
"GO:0030810"	"positive regulation of nucleotide biosynthetic process"	"13/129"	"75/23973"	1.63015764036685e-16	3.19863364028738e-15	1.29856085150133e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	13
"GO:1900373"	"positive regulation of purine nucleotide biosynthetic process"	"13/129"	"75/23973"	1.63015764036685e-16	3.19863364028738e-15	1.29856085150133e-16	"Abca1/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adrb1/Adrb2/Adrb3"	13
"GO:0009190"	"cyclic nucleotide biosynthetic process"	"15/129"	"123/23973"	1.71110880891775e-16	3.26911840861653e-15	1.32717580747083e-16	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3"	15
"GO:0006796"	"phosphate-containing compound metabolic process"	"54/129"	"3071/23973"	1.84141150179487e-16	3.42785833411044e-15	1.391620028347e-16	"Aatk/Abca1/Abca4/Abca2/Abcb7/Abcg1/Abi1/Abl1/Abl2/Macf1/Acp1/Acp2/Acp5/Chrna7/Adipoq/Actc1/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam10/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora1/Adora2a/Adora2b/Adra1b/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss/Ager/Angpt1/Ang/Dusp2/Cd40/Atf7ip"	54
"GO:0051239"	"regulation of multicellular organismal process"	"46/129"	"2225/23973"	2.09661669307427e-16	3.8053592979298e-15	1.54487545805473e-16	"Aatk/Abl1/Abl2/Asic2/Ace/Macf1/Acp5/Chrna7/Chrnb2/Adipoq/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Aspa/Adam17/Adam8/Adam9/Adamts1/Adcy6/Adcyap1/Add1/Adk/Adm/Adnp/Adora1/Adora2a/Adora2b/Adora3/Adra1b/Adra1a/Adra1d/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Avil/Ager/Angpt1/Angpt2/Cebpb/Cd40/Cd40lg"	46
"GO:0044093"	"positive regulation of molecular function"	"34/129"	"1161/23973"	2.36228255331799e-16	4.18296861880211e-15	1.69817487786659e-16	"Abi1/Abl1/Abl2/Asic2/Chrna7/Adipoq/Actn2/Acvr2b/Adam17/Adam8/Adam9/Adcy6/Adcy7/Adcy9/Adcyap1/Adcyap1r1/Add1/Add2/Adnp/Adora1/Adora2a/Adora2b/Parp1/Adra1a/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Adrb3/Ager/Angpt1/Ang/Cd40"	34
"GO:0009165"	"nucleotide biosynthetic process"	"19/129"	"264/23973"	2.84874142181803e-16	4.92425302914259e-15	1.99911678724072e-16	"Abca1/Adcy6/Adcy7/Adcy8/Adcy9/Adcyap1/Adcyap1r1/Adk/Adm/Adnp/Adora2a/Adora2b/Adra2a/Adrb1/Adrb2/Adrb3/Adsl/Adssl1/Adss"	19
